USERNAME,EMAIL,ACCOUNT_NAME,ACCOUNT_ID,ACCOUNT_LEVEL,WINS,LOSSES,LEAGUE_POINTS,RANK,TIER,ROLE,SCHEDULE_TIME_START,SCHEDULE_TIME_END,EXTRAVERSION,AGREEABLENESS,CONSCIENTIOUSNESS,NEUROTICISM,OPENNESS,CLUSTER
,,,,376,198,167,51,0,5,4,21,0,2,4,1,2,4,256
,,,,319,232,204,1,3,4,2,22,23,1,2,4,3,3,674
,,,,421,197,159,0,2,2,4,9,12,4,1,4,4,2,47
,,,,54,21,11,1,0,8,1,21,0,2,3,4,1,3,187
,,,,525,61,37,1,1,1,4,15,16,1,1,4,1,1,137
,,,,213,154,123,0,3,2,1,19,22,4,2,4,1,1,174
,,,,47,436,391,99,1,6,4,10,14,4,3,4,3,4,690
,,,,652,87,50,1,0,3,2,23,3,1,2,1,2,3,500
,,,,188,67,35,1,0,7,0,19,22,1,4,3,2,4,1106
,,,,436,223,199,1,0,6,4,14,16,2,3,3,3,3,315
,,,,362,176,133,1,0,1,4,15,18,2,3,1,4,2,980
,,,,304,149,108,1,2,8,4,13,17,4,1,4,2,2,458
,,,,153,250,221,1,2,6,0,4,8,3,2,2,1,2,475
,,,,517,405,387,29,1,8,3,10,11,3,4,1,1,2,459
,,,,125,214,188,1,1,6,3,12,16,4,2,1,3,1,647
,,,,167,149,128,1,1,4,3,17,19,1,1,2,1,4,671
,,,,377,278,275,1,3,6,2,10,13,2,3,2,4,1,31
,,,,182,128,100,1,0,8,1,20,23,1,3,2,1,4,179
,,,,300,228,197,0,1,3,1,5,6,4,2,2,3,2,86
,,,,249,494,464,102,0,1,3,5,6,4,1,4,4,4,49
,,,,503,363,355,302,0,6,0,12,14,4,4,3,3,4,155
,,,,143,525,474,242,3,7,1,19,22,2,2,4,3,2,588
,,,,172,83,62,23,3,2,3,15,19,3,2,4,2,1,32
,,,,208,118,91,1,2,6,0,17,19,1,3,1,4,1,113
,,,,648,138,102,7,0,8,3,14,17,4,3,2,2,2,786
,,,,681,135,112,16,1,2,1,23,2,4,2,1,4,4,502
,,,,175,577,566,346,2,5,0,17,21,1,1,3,3,4,1168
,,,,532,115,117,0,2,4,3,6,7,2,2,2,2,2,695
,,,,212,246,238,273,0,6,2,15,19,1,2,2,4,2,468
,,,,346,161,119,269,3,1,3,10,13,3,4,4,1,4,346
,,,,204,377,360,1,1,7,4,14,15,3,4,4,3,4,690
,,,,605,227,199,385,1,1,3,4,8,3,4,4,3,4,746
,,,,189,80,48,236,2,8,1,9,13,2,2,4,4,2,763
,,,,210,376,363,29,0,7,0,20,23,3,2,4,4,3,753
,,,,611,248,215,174,3,3,3,3,7,1,3,2,3,2,21
,,,,323,115,83,41,3,8,3,6,10,3,2,2,1,1,282
,,,,101,517,502,354,1,1,0,21,23,3,1,1,1,3,305
,,,,116,324,276,31,1,4,1,0,3,2,2,1,2,3,129
,,,,616,111,106,1,0,5,3,8,11,2,2,2,2,2,429
,,,,603,221,202,426,2,4,4,23,0,4,1,4,3,4,1078
,,,,234,244,240,104,3,6,4,18,20,4,1,2,1,4,816
,,,,551,232,181,46,2,8,4,20,22,1,1,3,3,1,889
,,,,283,342,286,114,3,6,2,21,1,2,4,3,2,2,38
,,,,557,177,145,241,3,1,1,21,0,2,3,2,1,3,696
,,,,597,251,243,148,0,1,2,9,10,1,4,4,3,2,595
,,,,542,488,469,511,2,1,4,15,19,1,2,4,2,4,519
,,,,229,243,232,0,3,1,2,4,5,4,3,4,4,4,223
,,,,484,840,833,208,1,7,2,18,20,4,2,1,2,1,1177
,,,,578,397,366,1,3,1,2,1,2,1,4,4,2,2,843
,,,,478,163,148,35,0,0,1,11,15,4,3,1,4,2,870
,,,,574,454,400,1,3,2,4,21,1,4,4,2,1,4,59
,,,,136,126,90,90,1,1,2,19,22,4,4,2,1,1,491
,,,,111,49,36,19,3,3,2,17,18,2,3,2,4,4,8
,,,,225,123,108,64,2,3,2,17,19,3,4,3,3,2,69
,,,,80,123,102,18,0,4,3,19,23,1,1,2,2,4,671
,,,,280,376,315,0,3,1,4,16,19,3,3,3,1,3,346
,,,,504,195,197,1,0,3,3,23,1,1,3,4,4,4,320
,,,,110,144,152,57,3,8,3,12,13,3,3,3,2,3,344
,,,,362,624,573,184,0,3,3,1,4,2,1,1,3,1,1090
,,,,129,469,425,476,2,3,1,20,21,3,3,3,2,1,1154
,,,,408,170,144,0,3,5,2,4,7,1,1,1,1,4,583
,,,,291,300,260,206,1,6,2,13,17,4,3,3,3,4,827
,,,,568,253,206,17,2,5,4,8,9,2,4,2,3,4,225
,,,,669,338,324,34,1,4,2,6,8,4,2,1,4,4,502
,,,,401,179,151,405,0,0,3,1,2,2,4,4,4,1,1037
,,,,475,254,231,1,0,5,2,14,16,1,1,3,4,1,943
,,,,334,80,50,1,0,8,4,17,21,2,3,1,2,4,1222
,,,,200,101,81,90,1,2,2,20,0,4,2,2,2,4,900
,,,,70,201,180,152,1,5,1,17,19,4,4,4,1,4,917
,,,,566,184,172,16,3,0,1,19,22,1,4,4,3,4,643
,,,,650,170,158,14,2,2,2,1,2,3,2,1,4,1,736
,,,,77,284,247,35,1,1,1,16,20,4,1,3,3,4,219
,,,,54,93,50,448,1,7,4,20,23,1,1,2,3,3,1011
,,,,557,147,118,86,1,8,0,18,19,1,3,4,1,3,363
,,,,248,155,134,132,1,0,1,23,2,3,4,4,2,1,536
,,,,364,297,289,0,2,3,0,4,8,3,1,4,3,3,612
,,,,378,128,123,1,3,8,0,5,8,2,2,1,2,3,911
,,,,138,263,237,257,0,4,0,20,22,3,4,2,4,4,254
,,,,266,141,80,199,0,7,2,22,1,4,2,1,2,2,773
,,,,8,291,283,169,3,4,4,0,1,1,2,1,1,3,263
,,,,660,194,182,225,2,4,3,0,4,4,2,1,4,1,736
,,,,64,178,181,66,0,2,1,11,14,2,2,2,3,1,956
,,,,493,142,129,369,0,5,2,8,12,3,4,2,3,4,289
,,,,565,401,398,341,1,6,3,19,22,4,4,1,3,3,123
,,,,314,609,601,172,1,2,0,12,16,3,1,2,1,1,448
,,,,368,308,286,56,1,8,3,11,12,3,4,4,1,3,928
,,,,253,730,690,292,1,6,1,0,2,2,4,3,1,4,384
,,,,192,180,162,253,0,0,3,7,9,1,1,1,3,4,727
,,,,165,302,284,309,0,4,0,8,11,3,1,3,4,2,915
,,,,150,127,131,68,1,2,1,22,1,3,4,1,2,2,1044
,,,,459,115,106,74,2,6,0,10,14,1,4,3,1,1,1076
,,,,474,72,39,26,0,0,0,6,7,2,4,3,1,3,197
,,,,161,535,522,117,3,4,4,13,16,3,2,2,1,3,849
,,,,269,575,525,94,1,3,0,15,19,1,2,3,2,2,25
,,,,670,205,200,197,0,6,2,10,12,1,2,1,4,2,447
,,,,16,345,345,81,3,3,3,2,6,2,2,4,4,2,673
,,,,196,431,394,43,3,7,1,15,18,1,3,2,3,4,941
,,,,588,431,425,19,3,2,0,16,18,2,2,2,3,3,58
,,,,478,617,528,238,1,8,0,14,15,2,1,1,2,4,1055
,,,,153,61,50,122,0,5,4,18,21,2,1,2,4,3,1011
,,,,525,329,319,340,1,5,2,0,1,3,3,4,4,1,370
,,,,295,215,151,35,0,1,4,15,19,3,3,2,2,1,875
,,,,282,459,449,312,0,3,2,2,4,2,2,4,2,1,478
,,,,440,196,183,478,3,6,2,15,16,2,2,1,4,1,903
,,,,88,642,576,7,3,5,3,3,4,3,4,2,4,4,970
,,,,492,692,680,72,1,3,4,4,7,2,2,2,4,3,397
,,,,548,256,202,29,0,2,3,15,19,2,4,1,4,1,980
,,,,570,179,146,352,2,0,4,5,7,3,2,4,1,1,214
,,,,81,290,239,59,3,7,3,10,13,1,2,4,3,2,679
,,,,579,130,104,104,2,4,4,13,15,1,1,1,2,2,695
,,,,261,201,162,17,2,7,3,7,8,4,1,1,1,3,34
,,,,659,68,41,18,1,3,2,22,2,3,1,4,3,3,557
,,,,257,324,285,34,3,3,2,5,7,2,3,3,3,4,136
,,,,7,165,140,116,0,3,3,2,5,3,4,4,1,2,812
,,,,474,162,121,15,2,5,1,0,2,1,2,1,1,3,527
,,,,63,64,58,137,1,3,4,1,4,1,3,4,3,2,465
,,,,358,234,217,117,1,8,4,23,0,2,2,4,1,1,723
,,,,39,332,311,401,3,6,3,13,14,4,1,4,3,3,784
,,,,227,479,444,43,3,8,2,11,14,1,4,2,3,2,698
,,,,600,438,421,377,1,7,0,9,12,2,3,3,1,1,394
,,,,596,123,111,1,1,7,3,13,15,3,1,1,3,2,631
,,,,248,395,369,64,2,8,1,1,5,3,2,1,3,3,1206
,,,,520,481,490,321,3,7,4,16,19,1,3,1,1,2,517
,,,,45,139,125,177,2,1,0,10,12,4,4,1,3,4,66
,,,,146,242,239,52,3,4,4,5,8,4,3,2,1,3,550
,,,,105,312,278,271,0,3,4,12,15,1,4,3,3,3,805
,,,,340,357,366,193,3,3,2,1,4,4,3,3,3,4,411
,,,,28,193,91,451,0,0,1,21,23,2,2,4,2,2,1155
,,,,38,510,491,366,2,1,0,17,21,4,2,3,4,1,283
,,,,507,201,200,150,1,1,3,15,19,1,2,4,3,3,1136
,,,,535,321,285,225,3,3,1,0,4,4,1,4,1,3,1034
,,,,511,363,354,278,1,5,4,3,4,4,1,3,4,3,1080
,,,,482,210,185,0,1,8,1,22,1,4,1,1,3,2,676
,,,,383,585,537,114,0,7,4,9,13,2,4,1,4,3,315
,,,,417,229,223,173,2,6,1,22,23,3,4,4,2,3,106
,,,,379,243,225,365,1,1,2,0,3,4,4,4,1,4,122
,,,,26,102,84,65,0,6,2,5,7,2,4,1,3,1,184
,,,,432,289,253,405,3,8,1,12,13,4,1,1,2,3,100
,,,,381,154,121,31,0,4,0,2,5,1,4,1,4,1,239
,,,,548,187,167,298,1,6,0,14,18,4,4,3,1,2,125
,,,,15,441,417,68,0,6,3,13,16,4,4,3,2,3,213
,,,,184,78,46,0,3,1,3,8,9,2,2,4,2,3,195
,,,,669,136,101,531,3,6,4,11,15,4,2,3,1,4,1104
,,,,274,201,209,38,2,7,4,9,12,2,3,4,3,4,999
,,,,32,116,85,144,1,0,1,10,14,4,1,4,3,4,616
,,,,114,484,472,246,0,6,3,11,15,3,4,4,4,3,837
,,,,229,371,355,1,1,7,4,18,19,2,1,1,4,4,1011
,,,,213,237,219,376,0,4,3,10,11,2,4,1,1,1,338
,,,,494,550,492,421,2,6,4,22,23,4,2,2,1,1,1068
,,,,103,211,200,64,3,6,3,2,3,3,3,2,3,4,231
,,,,226,665,620,93,2,2,2,7,10,2,1,1,4,1,3
,,,,213,236,219,70,0,8,2,19,20,2,3,4,3,1,463
,,,,310,193,148,1,1,7,3,19,22,4,4,4,4,4,907
,,,,338,200,158,307,1,3,2,18,22,4,1,2,2,3,1069
,,,,407,172,158,129,2,2,2,15,18,1,2,2,3,4,318
,,,,251,223,202,374,0,7,0,18,21,3,1,3,4,3,1027
,,,,359,80,86,0,1,7,0,17,18,3,3,2,4,2,444
,,,,306,241,207,362,0,3,0,15,19,2,2,3,3,1,654
,,,,252,429,425,0,2,5,0,16,17,3,2,4,3,1,368
,,,,426,328,287,172,1,7,3,19,23,3,4,2,2,3,494
,,,,98,468,476,50,2,4,3,2,3,3,1,1,4,2,242
,,,,197,699,672,294,3,7,3,22,1,3,1,1,2,4,900
,,,,424,372,348,42,0,7,3,18,21,2,2,4,4,4,549
,,,,551,807,797,23,2,3,0,5,7,2,4,1,1,4,923
,,,,25,102,76,145,1,8,2,7,11,1,2,3,2,3,1087
,,,,67,720,720,202,3,3,4,21,22,3,2,3,1,1,952
,,,,585,322,303,494,1,4,2,18,21,2,2,4,2,2,1142
,,,,306,351,320,184,3,2,4,6,10,1,3,2,3,4,936
,,,,431,81,81,78,2,1,2,13,15,3,3,1,1,4,1095
,,,,348,390,301,231,2,4,3,8,10,3,1,2,1,2,732
,,,,432,189,132,91,0,3,0,12,14,1,4,1,2,2,203
,,,,547,137,120,0,1,3,4,9,12,4,2,1,1,1,732
,,,,245,95,84,245,3,4,0,1,2,3,3,1,2,1,586
,,,,610,349,314,0,3,5,2,7,9,3,3,3,2,1,282
,,,,569,132,109,105,1,2,2,20,23,4,2,1,2,4,1193
,,,,697,426,400,342,2,3,0,20,21,3,4,2,1,3,373
,,,,322,246,201,18,2,5,1,21,23,1,4,2,3,4,622
,,,,55,421,424,467,3,5,4,3,6,2,3,4,2,1,993
,,,,654,279,260,27,2,5,3,10,13,3,3,2,2,3,641
,,,,419,145,110,427,2,3,1,0,2,3,2,2,3,1,586
,,,,402,179,170,266,0,1,3,15,16,1,2,2,4,1,268
,,,,149,121,104,1,0,1,0,8,9,4,4,2,3,4,895
,,,,232,188,146,245,2,3,0,1,2,1,2,4,4,2,287
,,,,519,179,152,124,2,7,1,17,19,2,4,1,2,1,138
,,,,591,483,439,321,1,5,0,4,6,3,1,3,4,2,234
,,,,300,141,109,6,1,2,4,4,8,2,4,1,4,2,418
,,,,181,422,402,479,0,8,1,3,7,3,4,3,3,1,311
,,,,22,291,279,168,0,3,3,12,14,2,2,3,1,4,671
,,,,42,222,206,414,0,0,1,13,17,1,3,4,4,3,762
,,,,391,85,54,308,1,4,4,21,0,2,4,3,1,1,739
,,,,69,100,82,50,0,2,2,3,7,2,1,4,3,2,629
,,,,426,151,114,402,3,1,2,23,1,1,2,2,4,1,1250
,,,,390,74,46,83,2,0,4,22,1,1,4,2,2,4,728
,,,,125,366,352,41,2,5,2,1,4,4,2,1,2,2,1109
,,,,523,463,458,238,2,8,2,7,9,3,2,1,4,4,297
,,,,470,447,435,264,0,4,2,11,12,4,1,3,3,1,703
,,,,319,393,376,72,3,7,4,6,10,3,2,2,4,4,231
,,,,617,385,373,471,3,8,3,23,2,2,2,4,4,2,28
,,,,332,94,78,22,2,2,4,1,5,2,1,1,1,2,329
,,,,444,388,352,217,1,8,1,13,15,1,3,4,1,2,399
,,,,457,193,125,27,3,6,3,23,2,2,1,1,1,2,314
,,,,695,362,336,1,2,8,4,3,5,2,1,4,2,4,901
,,,,439,163,133,73,1,7,0,17,21,3,3,1,2,2,130
,,,,63,145,119,66,1,1,2,12,15,2,4,1,1,3,140
,,,,515,257,254,286,2,3,3,4,7,4,3,2,4,1,1075
,,,,126,233,237,15,2,8,0,7,8,4,3,3,3,1,1234
,,,,553,318,285,289,1,4,2,1,4,4,1,4,4,3,70
,,,,328,49,41,1,2,8,2,20,0,1,4,2,2,4,434
,,,,381,193,153,12,1,6,3,17,18,2,2,3,4,2,1165
,,,,364,157,155,78,0,0,3,5,8,3,4,3,4,4,879
,,,,436,118,75,204,2,2,0,4,8,2,2,2,1,1,646
,,,,495,361,359,0,1,6,0,0,2,4,3,4,3,1,14
,,,,436,182,148,19,2,4,3,19,23,4,1,2,3,4,816
,,,,429,439,436,337,3,5,0,17,18,3,2,4,1,1,174
,,,,608,249,248,122,1,2,2,4,6,2,1,4,3,4,677
,,,,353,207,167,30,2,2,2,13,17,1,1,2,1,1,755
,,,,225,176,166,18,1,1,0,22,1,4,1,2,3,3,1146
,,,,395,106,76,124,0,7,2,3,6,1,4,4,2,1,312
,,,,386,408,333,0,1,0,1,8,12,2,3,3,2,3,1003
,,,,445,157,121,451,2,3,3,3,4,2,3,2,4,1,645
,,,,454,136,111,111,1,1,1,12,13,1,1,2,1,1,755
,,,,281,403,316,0,3,0,0,2,6,2,1,4,4,4,891
,,,,78,234,229,30,0,2,4,7,10,1,2,2,1,2,74
